node_id,domain,subdomain,verificationStatus,locator_url,kilde-type,begrunnelse,flagg-for-menneske
reko-ring-arendal,lokale-verdikjeder,reko,unverified,https://www.facebook.com/groups/1937710362945137/,secondary,"Spiselig-listen er datert 27.11.2022; REKO Norge peker til Facebook-grupper som ring-lokator, men fortsatt aktivitet maa sjekkes.",ja
reko-ring-asker,lokale-verdikjeder,reko,unverified,https://www.facebook.com/profile.php?id=100077301828611,secondary,"Spiselig-listen er datert 27.11.2022; lokator er Facebook-profil/side heller enn ren gruppe og maa sjekkes.",ja
reko-ring-askim-mysen,lokale-verdikjeder,reko,unverified,https://www.facebook.com/groups/rekoaskim/,secondary,"Spiselig-listen er datert 27.11.2022; REKO Norge peker til Facebook-grupper som ring-lokator, men fortsatt aktivitet maa sjekkes.",ja
reko-ring-aure,lokale-verdikjeder,reko,unverified,https://www.facebook.com/groups/rekoringenaure,secondary,"Spiselig-listen er datert 27.11.2022; REKO Norge peker til Facebook-grupper som ring-lokator, men fortsatt aktivitet maa sjekkes.",ja
reko-ring-balsfjord,lokale-verdikjeder,reko,unverified,https://www.facebook.com/groups/634636273913984,secondary,"Spiselig-listen er datert 27.11.2022; REKO Norge peker til Facebook-grupper som ring-lokator, men fortsatt aktivitet maa sjekkes.",ja
reko-ring-beitostolen,lokale-verdikjeder,reko,unverified,https://www.facebook.com/groups/REKO.BEITOSTOLEN/,secondary,"Spiselig-listen er datert 27.11.2022; REKO Norge peker til Facebook-grupper som ring-lokator, men fortsatt aktivitet maa sjekkes.",ja
reko-ring-bergen-fana,lokale-verdikjeder,reko,unverified,https://www.facebook.com/groups/2377478842509796/,secondary,"Spiselig-listen er datert 27.11.2022; REKO Norge peker til Facebook-grupper som ring-lokator, men fortsatt aktivitet maa sjekkes.",ja
reko-ring-bergen-fyllingsdalen,lokale-verdikjeder,reko,unverified,https://www.facebook.com/groups/rekobergen/,secondary,"Spiselig-listen er datert 27.11.2022; REKO Norge peker til Facebook-grupper som ring-lokator, men fortsatt aktivitet maa sjekkes.",ja
reko-ring-bergen-asane,lokale-verdikjeder,reko,unverified,https://www.facebook.com/groups/rekobergenikea/,secondary,"Spiselig-listen er datert 27.11.2022; REKO Norge peker til Facebook-grupper som ring-lokator, men fortsatt aktivitet maa sjekkes.",ja
reko-ring-bergen-sentrum,lokale-verdikjeder,reko,unverified,https://www.facebook.com/groups/229566011437134/,secondary,"Spiselig-listen er datert 27.11.2022; REKO Norge peker til Facebook-grupper som ring-lokator, men fortsatt aktivitet maa sjekkes.",ja
